group,landmarks,drop_mean,drop_std,drop_class_0_mean,drop_class_1_mean,drop_class_2_mean,drop_class_0_std,drop_class_1_std,drop_class_2_std
Hands,"17,18,19,20,21,22",0.18437158469945364,0.010962244403086964,0.2915360501567398,0.1524193548387097,0.08482142857142855,0.013735988902950885,0.017711361731214143,0.022937915319044863
Head and Face,"0,1,2,3,4,5,6,7,8,9,10",0.11114754098360662,0.011902537512462204,0.015047021943573635,0.0064516129032258,0.421875,0.00979341652151306,0.0036464139694221843,0.03768290851815654
Feet,"29,30,31,32",0.058797814207650324,0.005282205890095998,0.10783699059561122,0.0440860215053764,0.013392857142857128,0.01087733640934012,0.005790499792617769,0.01597191412499851
Wrists,"15,16",0.015737704918032835,0.0047437233692263865,0.05893416927899682,0.0,-0.019642857142857174,0.011961620080463272,0.0,0.007783748113465482
Shoulders,"11,12",0.0006557377049180802,0.002196694124835171,-0.0021943573667711825,0.0,0.005803571428571408,0.00244835413037825,0.0,0.007998425387128952
Ankles,"27,28",-0.0019672131147540407,0.0020033117792156393,0.0021943573667710936,0.0,-0.011160714285714312,0.005064418313919574,0.0,0.00983156943997556
Elbows,"13,14",-0.0029508196721311,0.0019580844663572633,0.010658307210031293,0.0,-0.02723214285714287,0.0040144979545033745,0.0,0.007589285714285687
Knees,"25,26",-0.006229508196721256,0.0038188863846242683,-0.025705329153605072,0.0,0.011160714285714269,0.012205593939769143,0.0,0.008292042687949424
Hips,"23,24",-0.00896174863387974,0.001449890618734617,0.0006269592476488728,0.0,-0.0375,0.0018808777429466738,0.0,0.006055651770647565
