Model,Parameters,Test_Accuracy_Mean,Test_Accuracy_Std,Test_Loss_Mean,Test_Loss_Std,Train_Seconds_Mean,Seeds
LSTM (Main),64003,0.93442622423172,0.0069979549865276545,0.4714611768722534,0.09531733595785222,8.940000000000001,5
GRU,48579,0.9283060073852539,0.01066903164800772,0.5504930913448334,0.11709121771715776,9.879999999999999,5
1D-CNN,32739,0.9259016513824463,0.018904255810249442,0.5963756084442139,0.10826610123775346,3.2600000000000002,5
LSTM (No-Norm),64003,0.9051366209983825,0.014320694457566742,0.6369992971420289,0.04809821027519137,10.959999999999999,5
Single-Frame MLP,25475,0.9326775789260864,0.006211261385264922,0.4464123010635376,0.03984199727069617,1.86,5
